"","MoDC_6H_M4","MoDC_6H_M1","MoDC_6H_M2","MoDC_6H_M3","Naive_MoDC_M3","Naive_MoDC_M1","Naive_MoDC_M2"
"Coro1a",-0.69,-1.03,-0.61,-0.84,1.18,1.05,0.95
"Cep131",-0.82,-0.92,-0.44,-0.95,1.32,0.91,0.9
"Nhlrc3",-0.81,-0.82,-0.67,-0.86,1.35,0.98,0.84
"Tatdn3",-0.8,-0.94,-0.63,-0.77,1.38,0.99,0.77
"Bola1",-0.34,-0.74,-0.73,-1.14,0.48,1.56,0.92
"Sipa1l2",-0.44,-0.86,-0.71,-1.01,0.73,1.58,0.72
"Treml1",-0.77,-0.81,-0.63,-0.8,0.41,1.57,1.04
"Gm20712",-0.75,-0.93,-0.66,-0.68,0.52,1.63,0.87
"Zyg11b",-0.75,-0.5,-0.92,-0.87,0.69,1.6,0.74
"Rnf150",-0.69,-0.77,-0.8,-0.8,0.76,1.61,0.69
"Dchs1",-0.71,-0.79,-0.81,-0.81,0.62,1.43,1.06
"Orai3",-0.76,-0.6,-0.88,-0.85,0.59,1.44,1.07
"Alad",-0.79,-0.65,-0.89,-0.81,0.67,1.34,1.13
"Ckap4",-0.58,-0.78,-0.94,-0.86,0.85,1.31,1
"Trim16",-0.71,-0.69,-0.76,-0.99,0.77,1.36,1.01
"Arhgap18",-0.97,-0.75,-0.54,-0.8,0.84,1.55,0.68
"Rbl2",-0.94,-0.79,-0.59,-0.82,0.82,1.4,0.91
"D930048N14Rik",-1.06,-0.72,-0.59,-0.78,1,1.26,0.91
"Bbs9",-1.07,-0.56,-0.2,-1.15,1.22,1.14,0.63
"Adss",-1.19,-0.77,-0.33,-0.76,1.1,1.29,0.66
"Samd10",-1.2,-0.51,-0.49,-0.87,1.22,1.18,0.66
"Pald1",-1.04,-0.68,-0.5,-0.88,1.2,1.26,0.64
"Galm",-0.68,-0.71,-0.56,-1.05,1.27,1.37,0.36
"Tle2",-0.75,-0.59,-0.43,-1.2,0.88,1.55,0.54
"Glo1",-1.39,-0.94,-0.37,-0.2,0.77,1.35,0.78
"Tomm40l",-1.36,-1,-0.41,-0.1,0.61,1.25,1.01
"Xxylt1",-1.48,-0.61,-0.53,-0.34,0.86,1.26,0.85
"Pacs1",-1.72,-0.57,-0.2,-0.24,0.63,1.17,0.93
"Rptoros",-1.71,-0.64,-0.35,-0.03,0.74,1.06,0.94
"Ttll5",-1.29,-0.92,0.15,-0.79,0.89,0.71,1.25
"Tmem106b",-1.3,-1.03,0.09,-0.48,0.43,0.83,1.46
"Tnfsfm13",-1.13,-1.3,-0.13,-0.29,0.56,1.11,1.18
"3110082I17Rik",-1.28,-1.16,-0.22,-0.18,0.57,1.05,1.23
"Itgb3",-1.25,-1.15,-0.15,-0.25,0.41,1.08,1.31
"Elovl5",-1.49,-0.76,0.1,-0.43,0.14,1.2,1.24
"Tep1",-1.59,-0.86,0.06,-0.28,0.46,1.14,1.07
"Mbnl1",-1.62,-0.74,0.03,-0.4,0.64,0.92,1.18
"Diras2",-1.14,-0.8,-0.15,-0.87,0.71,1.48,0.77
"Pstk",-1.11,-0.71,-0.17,-1.05,0.83,1.13,1.08
"Mri1",-1.03,-0.72,-0.4,-0.96,0.81,1.27,1.03
"A530017D24Rik",-1.09,-0.67,-0.06,-1.05,0.37,1.27,1.23
"Txndc16",-0.9,-0.81,-0.25,-1.02,0.46,1.32,1.21
"Acot2",-1.07,-0.79,-0.29,-0.85,0.47,1.26,1.27
"Smap2",-0.91,-0.77,-0.44,-0.87,0.37,1.47,1.16
"Kif26b",-0.8,-0.89,-0.39,-0.92,0.4,1.47,1.12
"Tnfrsf21",-0.88,-0.81,-0.26,-1.02,0.55,1.53,0.9
"Per1",-0.83,-0.76,-0.42,-1.08,0.7,1.37,1.02
"Mast3",-0.89,-0.74,-0.42,-1.01,0.58,1.38,1.11
"Mcm2",-0.64,-1.23,-0.4,-0.75,0.61,1.43,0.98
"Celf2",-0.76,-1.12,-0.24,-0.91,0.65,1.22,1.16
"Hscb",-0.76,-1.16,-0.44,-0.76,0.85,1.28,0.98
"Mfng",-0.75,-1.02,-0.39,-0.96,0.88,1.17,1.09
"Fhdc1",-0.97,-1.07,-0.33,-0.7,0.7,1.26,1.11
"Ptpn18",-1.09,-1.04,-0.09,-0.77,0.68,1.19,1.12
"Slc9a9",-1.05,-1.12,-0.1,-0.68,0.55,1.3,1.08
"Csad",-1.14,-0.97,-0.37,-0.52,0.49,1.3,1.19
"Bcas3",-1.29,-0.85,-0.38,-0.48,0.67,1.39,0.94
"Grk5",-1.22,-0.92,-0.43,-0.45,0.7,1.36,0.96
"Ranbp10",-0.64,-0.76,-0.17,-1.41,0.82,1.06,1.09
"Gpr160",-0.94,-0.95,0.23,-1.2,0.92,0.99,0.95
"Cyp27a1",-0.86,-1.32,0.39,-0.85,0.43,1.04,1.17
"Add3",-0.73,-1.26,-0.29,-0.68,0.45,1.18,1.33
"Usp2",-0.7,-1.17,-0.03,-0.92,0.37,0.97,1.49
"Uba52rt",0.16,-1.28,-0.55,-0.17,0.03,1.99,-0.17
"Clec4a2",0.41,-0.97,-0.83,-0.85,1.19,1.4,-0.35
"Gm3379",-0.97,-0.02,-0.85,-0.26,0.28,2.04,-0.23
"Paqr8",-0.84,-0.45,-0.96,-0.51,0.84,1.79,0.13
"Exosc5",-0.82,-0.4,-0.72,-0.89,0.83,1.76,0.23
"Morn1",-0.69,-0.28,-0.79,-0.8,0.88,1.84,-0.16
"Ppargc1b",-0.76,-0.15,-1.3,-0.53,0.15,1.46,1.13
"Tacc2",-0.96,-0.11,-1.17,-0.46,0.13,1.59,0.98
"Cfap410",-0.91,-0.42,-1.12,-0.42,0.4,1.67,0.8
"Eif4b",-0.83,-0.31,-1.06,-0.81,0.55,1.46,0.99
"Mras",-0.62,-0.51,-1.19,-0.67,0.53,1.54,0.92
"Tmem126b",-0.31,-0.49,-1.2,-0.82,0.59,1.71,0.52
"Tmc8",-0.33,-0.43,-1.43,-0.6,0.37,1.57,0.84
"Vdr",-0.06,-0.37,-1.38,-0.88,0.21,1.4,1.08
"Cfap161",-0.54,-0.1,-1.07,-1.08,0.31,1.57,0.9
"Fam98c",-0.59,-0.51,-1.04,-0.8,0.31,1.58,1.05
"Ulk1",-0.38,-0.55,-1.16,-0.8,0.28,1.54,1.07
"Wdr6",-0.66,-0.74,-0.92,-0.53,0.15,1.67,1.03
"Mccc2",-0.58,-0.75,-1.09,-0.33,0.01,1.53,1.21
"Clec1a",-0.22,-1.08,-0.86,-0.66,0.25,1.65,0.92
"Gas2l3",-0.4,-1.12,-0.86,-0.45,0.28,1.66,0.89
"Numbl",-0.54,-1.09,-0.7,-0.53,0.22,1.64,1
"Ccng1",-1.12,-0.81,-0.47,-0.27,0.28,1.84,0.55
"Arhgap39",-0.91,-0.83,-0.43,-0.31,-0.07,1.97,0.57
"Lefty1",-0.69,-0.75,-0.4,-0.78,-0.04,1.9,0.75
"Bbc3",-0.71,-0.68,-0.36,-0.94,-0.07,1.69,1.08
"Cbx2",-0.81,-0.74,-0.26,-1.02,0.22,1.64,0.97
"Gm12989",-0.58,0.25,-0.55,-0.77,2.07,0.18,-0.61
"H1f10",-0.98,-0.15,-0.29,-0.88,1.89,0.71,-0.3
"Gm2451",-1.06,-0.04,-0.04,-0.85,2.03,0.12,-0.15
"Lrrc28",-0.92,-0.64,-0.41,-0.54,1.94,-0.15,0.72
"Rbm8a2",-0.57,-0.39,-0.42,-0.69,2.08,-0.53,0.51
"Gm6209",-0.76,-0.23,-0.58,-0.75,2.06,-0.18,0.44
"Gm7808",-0.89,-0.15,-0.45,-0.73,1.97,-0.39,0.64
"Adap2os",-0.83,-0.18,-0.58,-0.59,2.02,-0.42,0.58
"Gm55531",-0.83,-0.15,-0.89,-0.52,1.98,-0.11,0.52
"Slc38a9",-0.85,-0.33,-0.92,-0.26,2.04,0.27,0.06
"Bscl2",-0.88,-0.36,-0.8,-0.66,1.93,0.45,0.32
"Cog7",-0.73,-0.34,-0.84,-0.59,2.05,0.31,0.14
"Rmdn1",-0.91,-0.37,-0.98,-0.51,1.83,0.39,0.54
"Arhgap27os2",-0.73,-0.27,-0.98,-0.66,1.93,0.24,0.47
"Hnrnpl",-1.07,-0.6,-0.64,-0.3,1.91,0.14,0.57
"Cyb5r1",-0.92,-0.67,-0.52,-0.44,2.02,0.28,0.25
"Akap8l",-0.65,-0.78,-0.49,-0.75,1.98,0.27,0.43
"Gm8137",-0.6,-0.69,-0.71,-0.72,1.96,0.45,0.3
"Pold1",-0.82,-0.42,-0.66,-0.69,2,0.12,0.48
"Eri3",-0.59,-0.54,-0.84,-0.63,2.01,0.12,0.46
"Palm",-0.92,-0.51,-0.7,-0.62,1.92,0.37,0.45
"Fgf11",-0.85,-0.68,-0.72,-0.49,1.93,0.35,0.45
"Ilk",-0.79,-0.53,-0.85,-0.68,1.83,0.38,0.65
"Ssna1",-0.76,-0.71,-0.63,-0.75,1.85,0.37,0.63
"Gm13436",-0.83,-0.07,-0.4,-0.3,2.17,-0.59,0.03
"Gm5637",-0.63,-0.19,-0.47,-0.48,2.23,-0.37,-0.08
"Gm15725",-0.55,-0.19,-0.39,-0.44,2.24,-0.51,-0.16
"Gm13092",-0.59,-0.23,-0.3,-0.54,2.23,-0.49,-0.08
"Brca1",-0.34,-0.14,-0.98,-0.57,2.14,-0.11,0.01
"mt-Nd2",-0.46,-0.32,-0.6,-0.52,2.22,-0.33,0.01
"Dcxr",-0.61,-0.28,-0.78,-0.52,2.15,-0.14,0.19
"Mir6236",-0.63,-0.15,-0.72,-0.53,2.15,-0.32,0.19
"Gm15590",-0.52,-0.1,-0.44,-0.75,2.21,-0.16,-0.23
"Cyp11a1",-0.63,-0.13,-0.69,-0.36,2.21,-0.3,-0.1
"Gm9439",-0.6,0.12,-0.72,-0.42,2.18,-0.29,-0.28
"Rpgrip1",-1.08,-0.14,-0.6,-0.13,2.1,0.06,-0.2
"Sars",-0.97,-0.37,-0.32,-0.18,2.17,-0.09,-0.24
"Ankmy1",-0.87,-0.14,-0.47,-0.33,2.19,-0.25,-0.14
"Arfip2",-1.23,-0.33,-0.29,-0.35,2.04,0.05,0.12
"Rpsa-ps10",-1.02,-0.59,-0.12,-0.34,2.11,0.12,-0.17
"Prss34",-0.97,-0.46,-0.15,-0.42,2.15,-0.04,-0.1
"Gpx4",-0.96,-0.65,-0.53,0.07,2.08,-0.17,0.16
"Fam193b",-0.68,-0.57,-0.72,-0.35,2.1,-0.12,0.35
"Sult2b1",-0.86,-0.55,-0.6,-0.26,2.1,-0.15,0.31
"mt-Nd4",-0.79,-0.39,-0.37,-0.38,2.19,-0.37,0.11
"2900005J15Rik",-0.78,-0.44,-0.49,-0.5,2.17,-0.03,0.08
"Gm48611",-0.45,-0.97,-0.36,-0.12,2.16,-0.09,-0.16
"Gm7589",-0.71,-0.81,-0.41,-0.05,2.15,0.07,-0.24
"Rtl5",-0.37,-0.52,-1,-0.15,2.14,-0.08,-0.03
"Sap18b",-0.47,-0.51,-0.6,-0.16,2.24,-0.35,-0.15
"Gm13835",-0.35,-0.33,-1.34,-0.32,1.92,0.43,0
"Syne1",-0.19,-0.99,-0.91,-0.28,1.96,0.46,-0.06
"Rn7sk",-0.01,-1.01,-0.98,-0.41,1.94,0.28,0.18
"Cbx6",-0.35,-0.51,-0.96,-0.57,2.06,0.33,0
"AU022793",-0.29,-0.86,-0.82,-0.55,2.01,0.38,0.13
"Kmt5c",-0.19,-0.72,-1.04,-0.68,1.91,0.41,0.3
"Ankrd13d",-0.32,-0.76,-1.02,-0.54,1.91,0.55,0.19
"Celsr1",-0.41,-0.61,-0.66,-0.68,1.85,0.96,-0.46
"Tst",-0.73,-0.58,-0.65,-0.66,1.9,0.81,-0.09
"Gm55175",-0.71,-0.64,-0.42,-0.72,1.97,0.7,-0.19
"Bach1",-0.61,-0.9,-0.85,-0.1,1.8,0.9,-0.23
"Gfra2",-0.66,-0.57,-0.86,-0.43,1.88,0.86,-0.22
"Hacd4",-0.95,-0.36,-1.05,-0.18,1.79,0.79,-0.04
"Twnk",-0.55,-0.54,-1.25,-0.4,1.72,0.84,0.17
"Clec2i",-0.35,-1.38,-0.02,-0.37,1.93,0.29,-0.11
"Gpi-ps",-0.17,-1.15,-0.44,-0.27,1.99,-0.45,0.49
"Vill",-0.36,-1.05,-0.42,-0.5,2.06,-0.02,0.29
"Ppp1ccb",-0.59,-1.06,-0.61,-0.22,1.99,0.1,0.39
"Zfp956",-0.12,-0.97,-0.11,-0.67,2.13,-0.1,-0.17
"Kif19a",-0.22,-0.63,-0.38,-0.66,2.22,-0.08,-0.26
"Insr",-0.09,-0.67,-0.4,-0.57,2.1,0.36,-0.72
"Gm5558",-0.37,-0.59,-0.54,-0.25,2.19,0.14,-0.57
"Vcp-rs",-0.01,-0.61,-0.43,-0.25,2.23,-0.4,-0.51
"Gm13341",-0.6,-0.37,-0.14,-0.41,2.22,-0.07,-0.62
"Gm37728",-0.09,-0.55,-0.24,-1.13,2.08,0.08,-0.16
"Limk1",-0.48,-0.5,-0.41,-0.92,2.06,0.48,-0.23
"Rab44",-0.36,-0.45,-0.36,-1.18,2,0.4,-0.04
"BC028528",-0.35,-0.38,-0.74,-0.93,2.05,-0.01,0.35
"Hycc1",0.07,-0.35,-0.88,-1.18,1.9,0.31,0.14
"Nmrk1",0.11,-0.48,-0.72,-1.26,1.87,0.33,0.15
"Mrps36-ps1",0.08,-0.3,-0.85,-0.59,2.17,-0.31,-0.19
"Fads2",-0.07,-0.74,-0.68,-0.57,2.16,-0.08,-0.03
"A530088E08Rik",0.03,-0.55,-1,-0.61,2.08,0.08,-0.03
"Gm15349",-0.25,-0.04,-0.86,-0.87,2.07,0.24,-0.29
"Rpl36a-ps2",0.08,-0.15,-0.79,-0.81,2.13,-0.11,-0.35
"Gm4929",0.12,-0.19,-0.57,-1.03,2.1,-0.05,-0.38
"Accs",0.39,-1.22,-1.17,-0.64,1.13,0.45,1.04
"Klhdc2",0.28,-1.46,-1,-0.52,1.08,0.66,0.96
"Ptgs1",0.22,-1.24,-1.1,-0.71,1.01,0.83,0.98
"Prkag1",-0.09,-1.45,-0.93,-0.37,1.28,0.61,0.95
"Galt",-0.03,-1.45,-1.07,-0.27,0.96,0.94,0.93
"Galnt12",-0.32,-1.48,-0.82,-0.34,1.07,0.91,0.98
"Zfp36l1",-0.01,-1.46,-0.27,-0.79,1.54,0.11,0.87
"Fcgrt",-0.03,-1.19,-0.57,-0.84,1.66,0.09,0.89
"Tesk2",-0.03,-1.13,-0.68,-0.92,1.51,0.22,1.04
"Ssh2",0.39,-1.08,-0.56,-1.34,1.34,0.75,0.49
"Tnrc6b",0.25,-1.08,-0.68,-1.22,1.36,0.71,0.67
"P2ry6",0.43,-0.99,-0.8,-1.19,1.47,0.44,0.64
"Rhov",0.14,-1.07,-0.54,-1.22,1.49,0.4,0.81
"Xrcc6",0.02,-1.45,-0.27,-1,1.37,0.79,0.54
"Card11",-0.12,-1.25,-0.41,-1.03,1.5,0.87,0.44
"Sbk1",0.25,-1.55,-0.3,-1.02,1.14,0.81,0.67
"2410006H16Rik",0.38,-1.55,-0.58,-0.85,1.2,0.67,0.73
"Il16",0.32,-1.45,-0.57,-0.94,1.29,0.73,0.62
"Mmp19",0.53,-0.87,-1.04,-0.8,1.7,-0.1,0.58
"Fkbp11",0.47,-0.86,-0.94,-0.82,1.81,0.43,-0.09
"Clec12a",0.07,-1.08,-0.42,-0.95,1.86,0.55,-0.03
"Mcm7",0.39,-1.14,-1.13,-0.74,1.27,1.01,0.34
"Sfxn5",0.35,-1.34,-1.01,-0.58,1.38,0.84,0.36
"Nans",0.3,-1.2,-0.78,-0.88,1.62,0.51,0.44
"Pygb",0.1,-1.02,-1.21,-0.51,1.66,0.45,0.52
"Tmem156",0.16,-1.17,-1.02,-0.53,1.67,0.69,0.2
"Cx3cr1",0.08,-0.99,-1.04,-0.71,1.67,0.75,0.23
"Stradb",-0.51,-0.65,-0.88,-0.86,1.74,0.37,0.8
"Ssr1",-0.42,-0.6,-0.94,-0.96,1.7,0.53,0.7
"Pbxip1",-0.58,-0.69,-0.91,-0.87,1.59,0.81,0.65
"Angptl4",-0.54,-0.66,-0.89,-0.9,1.69,0.66,0.63
"Spint1",-0.39,-0.64,-0.92,-1.05,1.58,0.72,0.69
"Bin2",-0.42,-0.74,-0.74,-1.06,1.67,0.66,0.62
"Txnip",-0.48,-0.81,-1.03,-0.76,1.45,0.62,1.01
"Paox",-0.56,-0.78,-0.96,-0.74,1.51,0.48,1.05
"Agap3",-0.64,-0.81,-0.78,-0.86,1.49,0.63,0.97
"Mlh3",-0.64,-0.92,-0.72,-0.74,1.61,0.54,0.88
"Mdp1",-0.3,-0.78,-0.78,-1.13,1.53,0.64,0.81
"2900026A02Rik",-0.28,-0.96,-0.73,-1,1.58,0.58,0.8
"Foxo4",-0.47,-0.89,-0.72,-1.01,1.43,0.67,0.98
"Pdgfa",-0.24,-0.86,-0.9,-1.02,1.43,0.67,0.92
"Rab11fip4",-0.39,-0.86,-0.9,-0.91,1.44,0.61,1.01
"Vps18",-0.37,-0.91,-0.74,-0.9,1.62,0.33,0.97
"Mtg1",-0.45,-1,-0.73,-0.76,1.65,0.41,0.88
"Tspyl2",-0.3,-1.13,-0.71,-0.8,1.61,0.53,0.79
"Mpv17",-0.26,-0.89,-0.88,-0.87,1.7,0.47,0.72
"Ptpn7",-0.29,-0.91,-0.89,-0.89,1.6,0.66,0.72
"Tmem260",-0.25,-0.95,-0.96,-0.81,1.57,0.65,0.75
"Mrpl2",-0.29,-0.8,-1.24,-0.48,1.66,0.35,0.8
"Mrps6",-0.4,-0.88,-1.2,-0.29,1.69,0.33,0.76
"Zer1",-0.49,-0.88,-1.15,-0.52,1.47,0.67,0.89
"Tifab",-0.62,-0.77,-1.09,-0.58,1.52,0.65,0.88
"Mtg2",-0.34,-0.82,-1.24,-0.51,1.58,0.57,0.77
"Clybl",-0.49,-0.79,-1.3,-0.35,1.53,0.65,0.74
"Syt11",-0.27,-0.95,-1.05,-0.81,1.3,0.85,0.93
"Batf3",-0.16,-0.87,-1.24,-0.71,1.37,0.74,0.87
"Nckipsd",-0.25,-1.05,-1.04,-0.67,1.42,0.72,0.87
"Ap5s1",-0.27,-0.93,-1.11,-0.69,1.5,0.75,0.75
"Ppp1r1a",-0.23,-1,-1.1,-0.61,1.46,0.48,1.01
"Dnajc28",-0.3,-0.86,-1.3,-0.49,1.4,0.61,0.95
"Tsku",-0.34,-1.17,-0.92,-0.53,1.5,0.95,0.5
"Dync2i2",-0.49,-1.08,-0.88,-0.56,1.49,1.02,0.51
"Cenpu",-0.11,-1.2,-0.92,-0.66,1.51,0.76,0.63
"Xndc1",-0.19,-1.06,-1.17,-0.54,1.42,0.74,0.79
"Elovl6",-0.15,-1.14,-1.17,-0.45,1.42,0.79,0.69
"Hagh",-0.16,-0.55,-0.89,-1.09,1.69,0.91,0.09
"Arhgap4",-0.39,-0.63,-0.7,-1.1,1.72,0.86,0.23
"1700025G04Rik",-0.18,-0.82,-0.55,-1.24,1.67,0.67,0.45
"Vgll4",-0.21,-0.86,-0.62,-1.23,1.55,0.74,0.63
"Psap",-0.11,-1.09,-0.68,-0.97,1.52,1,0.34
"Mast4",-0.11,-0.94,-0.68,-1.04,1.71,0.73,0.34
"Miip",-0.59,-0.74,-0.61,-0.91,1.83,0.36,0.65
"Phpt1",-0.47,-0.73,-0.57,-1.02,1.81,0.27,0.72
"Acap1",-0.45,-0.81,-0.63,-0.9,1.83,0.23,0.73
"Tmed3",-0.41,-0.83,-0.53,-1.06,1.8,0.51,0.5
"Rhod",-0.44,-0.6,-0.65,-1.03,1.9,0.35,0.47
"Creb3l2",0.11,-1.01,-0.8,-1.01,1.64,0.39,0.68
"Mfsd11",0.01,-0.89,-0.84,-0.95,1.75,0.21,0.71
"Emilin1",-0.01,-0.78,-0.78,-1.12,1.74,0.28,0.66
"Apba3",-0.14,-0.67,-0.69,-1.08,1.91,0.28,0.39
"Kif22",-0.09,-0.69,-0.62,-1.14,1.87,0.13,0.54
"Spsb2",0.03,-0.99,-0.73,-0.82,1.9,0.22,0.38
"Prss36",0.04,-0.91,-0.55,-0.95,1.97,0.09,0.3
"Pgf",-0.54,-1.07,-0.83,-0.35,1.07,0.11,1.61
"Isyna1",-0.56,-1.08,-0.91,-0.43,1.45,0.42,1.11
"Acsf3",-0.57,-1.22,-0.83,-0.23,1.4,0.27,1.19
"Proser2",-0.71,-1.24,-0.76,-0.16,1.48,0.39,1
"Guk1",-0.74,-0.74,-0.52,-0.98,1.41,0.31,1.26
"Ormdl3",-0.68,-0.52,-0.52,-1.2,1.46,0.31,1.15
"Nudt16l1",-1.03,-0.55,-0.64,-0.69,1.41,0.18,1.32
"Gna12",-0.69,-0.68,-0.8,-0.8,1.57,0.27,1.12
"Smim12",-0.73,-0.34,-0.86,-0.95,1.39,0.17,1.32
"Mospd3",-0.85,-0.37,-0.72,-0.88,1.56,0.07,1.19
"Acvr2b",-0.17,-0.82,-0.88,-0.68,1.56,-0.26,1.25
"Mfhas1",-0.54,-0.64,-0.71,-0.91,1.75,0.11,0.95
"Nadsyn1",-0.27,-0.65,-0.69,-1.08,1.72,0.02,0.95
"Dynll2",-0.69,-0.08,-1.4,-0.7,1.38,0.84,0.66
"Rxrb",-0.6,0.03,-1.51,-0.69,1.38,0.57,0.82
"Zfp512b",-0.43,-0.26,-1.42,-0.67,1.4,1.13,0.25
"Crtc1",-0.42,-0.59,-1.43,-0.42,1.42,1.05,0.39
"Adamts10",-0.36,-0.63,-1.46,-0.49,1.36,0.87,0.7
"Zfp369",-0.5,-0.66,-1.31,-0.53,1.41,0.96,0.63
"Kazald1",-0.57,-0.5,-1.31,-0.61,1.45,0.91,0.64
"Fgd4",-0.72,-0.69,-1.21,-0.47,1.3,1.01,0.78
"Glul",-0.73,-0.41,-1.28,-0.55,1.46,0.95,0.56
"Rap1gap",-0.63,-0.57,-1.15,-0.67,1.53,0.91,0.57
"Rnasel",0.36,-0.71,-1.38,-0.8,1.53,0.54,0.45
"Ppcdc",0.16,-0.25,-1.33,-1.17,1.43,0.4,0.75
"Hyal2",0.09,-0.51,-1.37,-1,1.27,0.55,0.97
"Snx33",0.12,-0.47,-1.37,-1.06,1.26,0.67,0.85
"Ss18l2",-0.04,-0.54,-1.31,-0.92,1.51,0.81,0.48
"Strn",-0.16,-0.51,-1.24,-0.82,1.68,0.79,0.26
"Numa1",-0.33,-0.42,-1.11,-0.96,1.72,0.61,0.5
"Runx3",-0.28,-0.21,-1.32,-0.88,1.68,0.63,0.38
"Frrs1",0.14,-0.6,-1.04,-1.17,1.61,0.6,0.46
"Nisch",-0.09,-0.3,-1.06,-1.18,1.72,0.32,0.57
"Dmac2",-0.16,-0.39,-1.13,-1.03,1.71,0.32,0.68
"Cnpy4",-0.36,-0.43,-1.54,-0.42,1.43,0.31,1
"Fancf",-0.23,-0.35,-1.5,-0.46,1.58,0.03,0.94
"Evi5l",-0.3,-0.69,-1.17,-0.37,1.89,0.05,0.6
"Med24",-0.45,-0.8,-0.96,-0.56,1.82,0.17,0.78
"Ddah2",-0.35,-0.66,-0.99,-0.56,1.91,-0.05,0.7
"Vwf",-0.24,-0.72,-1.05,-0.79,1.78,0.51,0.5
"Gfod1",-0.44,-0.67,-1.08,-0.64,1.81,0.49,0.53
"Etfb",-0.31,-0.46,-1.09,-0.73,1.93,0.21,0.45
"Arrb2",-0.36,-0.57,-0.94,-0.9,1.86,0.48,0.42
"Inpp4a",-0.54,-0.52,-0.95,-0.78,1.87,0.38,0.53
"Pold4",-0.03,-0.69,-1.25,-0.71,1.72,0.31,0.64
"Kctd2",-0.2,-0.64,-1.32,-0.59,1.68,0.33,0.74
"Dna2",-0.14,-0.61,-1.28,-0.75,1.65,0.44,0.7
"Med22",-0.2,-0.99,-1,-0.6,1.74,0.4,0.66
"Selenbp1",-0.23,-0.78,-1.07,-0.78,1.66,0.34,0.86
"Fh1",-0.18,-0.8,-0.88,-0.8,1.88,0.24,0.55
"Josd1",-0.38,-0.9,-0.92,-0.67,1.75,0.38,0.73
"2410002F23Rik",-0.46,-0.79,-0.86,-0.7,1.85,0.37,0.59
"Tor4a",-0.62,-0.2,-0.17,-1.69,1.28,0.88,0.52
"St14",-0.67,-0.62,-0.11,-1.4,1.55,0.61,0.64
"Rasgrp2",-0.61,-0.42,-0.19,-1.3,1.86,0.18,0.49
"Ivd",-0.57,-0.51,-0.16,-1.38,1.66,0.11,0.84
"Tmem120a",-0.58,-0.58,-0.98,-0.98,1.12,1.27,0.72
"Prkdc",-0.58,-0.5,-0.96,-0.98,1.12,1.43,0.48
"Ethe1",-0.32,-0.63,-0.9,-1.14,1.27,1.25,0.48
"Arrdc3",-0.51,-0.48,-0.76,-1.29,1.27,1.08,0.68
"Snx21",-0.39,-0.38,-1.02,-1.24,1.09,0.91,1.04
"Ncapg2",-0.45,-0.25,-1.02,-1.27,1.25,0.86,0.88
"N4bp2l1",-0.05,-0.64,-1.16,-1.13,1.12,0.96,0.9
"Zfp652",-0.39,-0.5,-1.18,-1.02,1.06,1.01,1.02
"Dgkz",-0.37,-0.6,-1.17,-0.96,1.02,1.12,0.96
"Zfyve1",-0.82,-0.56,-0.56,-1.18,1.21,0.83,1.08
"Faap100",-0.78,-0.56,-0.44,-1.29,1.16,0.81,1.1
"Cd200r1",-0.86,-0.51,-0.65,-1.12,1.22,0.97,0.95
"Rgl2",-0.91,-0.64,-0.54,-1.07,1.16,0.94,1.06
"Mlec",-0.99,-0.46,-0.5,-1.08,1.49,0.78,0.76
"Kank3",-1,-0.62,-0.41,-1.05,1.35,0.79,0.94
"Msrb1",-0.82,-0.69,-0.62,-1,1.34,0.72,1.07
"Cdk2ap2",-0.75,-0.63,-0.75,-1.02,1.33,0.83,0.98
"Rab19",-0.83,-0.56,-0.74,-0.97,1.47,0.73,0.9
"Pfkfb4",-0.95,-0.46,-0.65,-1.04,1.38,0.79,0.92
"Mbp",-0.72,-0.74,-0.59,-1.05,1.41,0.99,0.72
"Gorasp1",-0.59,-0.76,-0.49,-1.19,1.31,1.16,0.57
"Plod1",-0.4,-0.81,-0.61,-1.25,1.26,0.85,0.96
"B3gnt8",-0.37,-0.75,-0.9,-1.09,1.26,0.96,0.89
"Acy3",-0.64,-0.18,-0.88,-1.28,1.36,0.81,0.81
"Hpgds",-0.75,-0.36,-0.66,-1.24,1.46,0.69,0.85
"Echdc3",-0.77,-0.47,-0.54,-1.28,1.37,0.89,0.78
"Sirt3",-0.58,-0.49,-0.69,-1.2,1.61,0.63,0.72
"Prune2",-0.38,-0.47,-0.79,-1.21,1.68,0.43,0.74
"Thada",-0.6,-0.46,-0.6,-1.19,1.72,0.74,0.39
"Plekhg3",-0.56,-0.53,-0.81,-1.07,1.63,0.84,0.5
"Fuom",-0.72,-0.72,-0.79,-0.81,1.59,0.97,0.47
"Sobp",-0.6,-0.76,-0.81,-0.82,1.6,1,0.4
"Ppm1m",-0.74,-0.64,-0.91,-0.77,1.59,0.81,0.66
"Plcg1",-0.75,-0.79,-0.8,-0.73,1.56,0.93,0.57
"Npas4",-0.69,-0.78,-0.81,-0.82,1.52,0.94,0.63
"Cog5",-0.74,-0.53,-0.93,-0.87,1.35,1.2,0.52
"2310040G24Rik",-0.79,-0.62,-0.94,-0.74,1.42,1.09,0.59
"Tnfaip8l2",-0.76,-0.64,-0.77,-0.95,1.46,0.9,0.75
"Arhgap45",-0.62,-0.59,-0.87,-1.03,1.39,0.96,0.77
"Ypel3",-0.64,-0.65,-0.95,-0.88,1.41,0.92,0.8
"Cradd",-0.77,-0.29,-1.1,-0.87,1.45,0.77,0.81
